sample_accession	run_accession	setup
SRS1305281	SRR3170102	paired
SRS1305281	SRR3170103	paired
SRS1305281	SRR3170104	paired
SRS1305281	SRR3170105	paired
SRS1305281	SRR3170106	paired
SRS1305280	SRR3170107	paired
SRS1305280	SRR3170108	paired
SRS1305280	SRR3170109	paired
SRS1305279	SRR3170110	paired
SRS1305279	SRR3170111	paired
SRS1305279	SRR3170112	paired
SRS1305278	SRR3170113	paired
SRS1305278	SRR3170114	paired
SRS1305278	SRR3170115	paired
SRS1305278	SRR3170116	paired
SRS1305278	SRR3170117	paired
SRS1305278	SRR3170118	paired
SRS1305277	SRR3170119	paired
SRS1305277	SRR3170120	paired
SRS1305277	SRR3170121	paired
SRS1305277	SRR3170122	paired
SRS1305276	SRR3170123	paired
SRS1305276	SRR3170124	paired
SRS1305276	SRR3170125	paired
SRS1305276	SRR3170126	paired
SRS1305275	SRR3170127	paired
SRS1305275	SRR3170128	paired
SRS1305275	SRR3170129	paired
SRS1305273	SRR3170130	paired
SRS1305273	SRR3170131	paired
SRS1305273	SRR3170132	paired
SRS1305256	SRR3170178	paired
SRS1305255	SRR3170179	paired
SRS1305254	SRR3170180	paired
SRS1305253	SRR3170181	paired
SRS1305252	SRR3170182	paired
SRS1305250	SRR3170183	paired
SRS1305250	SRR3170184	paired
SRS1305250	SRR3170185	paired
SRS1305250	SRR3170186	paired
SRS1305251	SRR3170187	paired
SRS1305251	SRR3170188	paired
SRS1305251	SRR3170189	paired
SRS1305251	SRR3170190	paired
SRS1305249	SRR3170191	paired
SRS1305248	SRR3170192	paired
SRS1305248	SRR3170193	paired
SRS1305248	SRR3170194	paired
SRS1305247	SRR3170195	paired
SRS1305247	SRR3170196	paired
SRS1305247	SRR3170197	paired
SRS1305246	SRR3170198	paired
SRS1305246	SRR3170199	paired
SRS1305246	SRR3170200	paired
SRS1305245	SRR3170201	paired
SRS1305244	SRR3170202	paired
SRS1305243	SRR3170203	paired
SRS1305242	SRR3170204	paired
SRS1305241	SRR3170205	paired
SRS1305240	SRR3170206	paired
SRS1478833	SRR3619906	single
SRS1478835	SRR3619907	single
SRS1478834	SRR3619908	single
SRS1478838	SRR3619909	single
SRS1478836	SRR3619910	single
SRS1478837	SRR3619911	single
SRS1817752	SRR5052450	single
SRS1817753	SRR5052451	single
SRS1817754	SRR5052452	single
SRS1817763	SRR5052461	single
SRS1817764	SRR5052462	single
SRS311706	SRR493008	single
SRS311707	SRR493009	single
SRS311708	SRR493010	single
SRS311710	SRR493012	single
SRS311712	SRR493014	single
SRS1572423	SRR3933199	paired
SRS1572424	SRR3933200	paired
SRS1572425	SRR3933201	paired
SRS1747723	SRR4425262	single
SRS1747723	SRR4425263	single
SRS2563735	SRR6130358	single
SRS2563736	SRR6130515	single
SRS542575	SRR1142091	single
SRS542576	SRR1142092	single
SRS542580	SRR1142095	single
SRS542579	SRR1142096	single
SRS1747747	SRR4425264	single
SRS1747747	SRR4425265	single
SRS1747748	SRR4425266	single
SRS1747748	SRR4425267	single
SRS1747749	SRR4425268	single
SRS1747749	SRR4425269	single
SRS2563737	SRR6130516	paired
SRS2563738	SRR6130517	paired
SRS2563739	SRR6130689	paired
SRS2563740	SRR6130690	paired
SRS085183	SRR060734	paired
SRS360123	SRR548611	paired
SRS360124	SRR548612	paired
SRS360125	SRR548613	paired
SRS523800	SRR1067932	paired
SRS523803	SRR1067936	paired
SRS523806	SRR1067939	paired
SRS523809	SRR1067942	paired
SRS523812	SRR1067944	paired
SRS523815	SRR1067948	paired
SRS523833	SRR1067970	paired
SRS523838	SRR1067975	paired
SRS523842	SRR1067979	paired
SRS523848	SRR1067984	paired
SRS523850	SRR1067986	paired
SRS523854	SRR1067988	paired
SRS523858	SRR1067991	paired
SRS523863	SRR1067996	paired
SRS523901	SRR1068000	paired
SRS1572426	SRR3933202	paired
SRS1572427	SRR3933203	paired
SRS1572428	SRR3933204	paired
SRS1588796	SRR3957253	single
SRS1588794	SRR3957254	single
SRS1936981	SRR5197972	paired
SRS1936982	SRR5197973	paired
SRS1936992	SRR5197983	paired
SRS1936993	SRR5197984	paired
SRS1955479	SRR5225761	paired
SRS1955480	SRR5225763	paired
SRS1955483	SRR5225765	paired
SRS1955484	SRR5225767	paired
SRS1955487	SRR5225769	paired
SRS1955488	SRR5225771	paired
SRS1955491	SRR5225773	paired
SRS1955493	SRR5225775	paired
SRS1955495	SRR5225777	paired
SRS1955497	SRR5225779	paired
SRS1955499	SRR5225781	paired
SRS1955501	SRR5225783	paired
SRS1955503	SRR5225785	paired
SRS1955505	SRR5225787	paired
SRS1955507	SRR5225789	paired
SRS1955509	SRR5225791	paired
SRS2154676	SRR5488304	paired
SRS2154677	SRR5488305	paired
SRS2154678	SRR5488306	paired
SRS2154679	SRR5488307	paired
SRS2154680	SRR5488308	paired
SRS2154681	SRR5488309	paired
SRS2154682	SRR5488310	paired
SRS2154683	SRR5488311	paired
SRS2154684	SRR5488312	paired
SRS2154685	SRR5488313	paired
SRS2154686	SRR5488314	paired
SRS2154687	SRR5488315	paired
SRS2154688	SRR5488316	paired
SRS2154689	SRR5488317	paired
SRS2154690	SRR5488318	paired
SRS2154691	SRR5488319	paired
SRS2154692	SRR5488320	paired
SRS2154693	SRR5488321	paired
SRS2154694	SRR5488322	paired
SRS2154695	SRR5488323	paired
SRS2154696	SRR5488324	paired
SRS2154697	SRR5488325	paired
SRS2154698	SRR5488326	paired
SRS2154699	SRR5488327	paired
SRS2154700	SRR5488328	paired
SRS2154701	SRR5488329	paired
SRS2154702	SRR5488330	paired
SRS2154703	SRR5488331	paired
SRS2154704	SRR5488332	paired
SRS2154705	SRR5488333	paired
SRS2154706	SRR5488334	paired
SRS2154707	SRR5488335	paired
SRS2511376	SRR6032665	paired
SRS2511377	SRR6032666	paired
SRS2511378	SRR6032667	paired
SRS2511379	SRR6032668	paired
SRS2511380	SRR6032669	paired
SRS2511382	SRR6032671	paired
SRS2582147	SRR6158803	paired
SRS2582148	SRR6158804	paired
SRS2582149	SRR6158805	paired
SRS2582150	SRR6158806	paired
SRS2582171	SRR6158807	paired
SRS2582151	SRR6158808	paired
SRS2582152	SRR6158809	paired
SRS2582153	SRR6158810	paired
SRS2582154	SRR6158811	paired
SRS2582155	SRR6158812	paired
SRS2582156	SRR6158813	paired
SRS2582157	SRR6158814	paired
SRS2582158	SRR6158815	paired
SRS2582159	SRR6158816	paired
SRS2582160	SRR6158817	paired
SRS2582161	SRR6158818	paired
SRS2582162	SRR6158819	paired
SRS2582163	SRR6158820	paired
SRS2582164	SRR6158821	paired
SRS2582165	SRR6158822	paired
SRS2582166	SRR6158823	paired
SRS2582167	SRR6158824	paired
SRS2582168	SRR6158825	paired
SRS2582169	SRR6158826	paired
SRS2582170	SRR6158827	paired
SRS3492845	SRR7460826	paired
SRS3492846	SRR7460827	paired
SRS3492847	SRR7460828	paired
SRS3492848	SRR7460829	paired
SRS3492849	SRR7460830	paired
SRS3492850	SRR7460831	paired
SRS3492851	SRR7460832	paired
SRS3492852	SRR7460833	paired
SRS3492854	SRR7460835	paired
SRS3492855	SRR7460836	paired
SRS3492856	SRR7460837	paired
SRS3492857	SRR7460838	paired
SRS3492858	SRR7460839	paired
SRS3492859	SRR7460840	paired
SRS3492860	SRR7460841	paired
SRS3492861	SRR7460842	paired
SRS3492862	SRR7460843	paired
SRS3492863	SRR7460844	paired
SRS3492865	SRR7460846	paired
SRS3492867	SRR7460848	paired
SRS3492868	SRR7460849	paired
SRS3492869	SRR7460850	paired
SRS3492870	SRR7460851	paired
SRS3492871	SRR7460852	paired
SRS3492872	SRR7460853	paired
SRS3492873	SRR7460854	paired
SRS3492874	SRR7460855	paired
SRS3492875	SRR7460856	paired
SRS3492876	SRR7460857	paired
SRS3492878	SRR7460859	paired
SRS3492879	SRR7460860	paired
SRS3492880	SRR7460861	paired
SRS3492881	SRR7460862	paired
SRS3492882	SRR7460863	paired
SRS3492884	SRR7460865	paired
SRS3492885	SRR7460866	paired
SRS3492886	SRR7460867	paired
SRS3492887	SRR7460868	paired
SRS3492889	SRR7460870	paired
SRS3492890	SRR7460871	paired
SRS3492892	SRR7460873	paired
SRS3492893	SRR7460874	paired
SRS3492894	SRR7460875	paired
SRS3492895	SRR7460876	paired
SRS3492896	SRR7460877	paired
SRS3492897	SRR7460878	paired
SRS3492898	SRR7460879	paired
SRS3492899	SRR7460880	paired
SRS3492901	SRR7460882	paired
SRS3492902	SRR7460883	paired
SRS3492903	SRR7460884	paired
SRS3492904	SRR7460885	paired
SRS3492905	SRR7460886	paired
SRS3492906	SRR7460887	paired
SRS3492907	SRR7460888	paired
SRS3492908	SRR7460889	paired
SRS3492910	SRR7460891	paired
SRS3492911	SRR7460892	paired
SRS3492913	SRR7460893	paired
SRS3492912	SRR7460894	paired
SRS3492915	SRR7460896	paired
SRS3492916	SRR7460897	paired
SRS3492917	SRR7460898	paired
SRS3492918	SRR7460899	paired
SRS3492921	SRR7460901	paired
SRS3492922	SRR7460903	paired
SRS3492923	SRR7460904	paired
SRS3492924	SRR7460905	paired
SRS3492925	SRR7460906	paired
SRS3492927	SRR7460908	paired
SRS3492928	SRR7460909	paired
SRS3492930	SRR7460910	paired
SRS3492931	SRR7460911	paired
SRS3492929	SRR7460912	paired
SRS3492932	SRR7460913	paired
SRS3492933	SRR7460914	paired
SRS3492935	SRR7460915	paired
SRS3492934	SRR7460916	paired
SRS3492936	SRR7460917	paired
SRS3492937	SRR7460918	paired
SRS3492938	SRR7460919	paired
SRS3492939	SRR7460920	paired
SRS3492940	SRR7460921	paired
SRS3492941	SRR7460922	paired
SRS3492942	SRR7460923	paired
SRS3492943	SRR7460924	paired
SRS3493002	SRR7460925	paired
SRS3492944	SRR7460926	paired
SRS3492945	SRR7460927	paired
SRS3492949	SRR7460930	paired
SRS3492948	SRR7460931	paired
SRS3492950	SRR7460932	paired
SRS3492951	SRR7460933	paired
SRS3492952	SRR7460934	paired
SRS3492953	SRR7460935	paired
SRS3492954	SRR7460936	paired
SRS3492955	SRR7460937	paired
SRS3492956	SRR7460938	paired
SRS3492957	SRR7460939	paired
SRS3492958	SRR7460940	paired
SRS3492959	SRR7460941	paired
SRS3492960	SRR7460942	paired
SRS3492961	SRR7460943	paired
SRS3492962	SRR7460944	paired
SRS3492963	SRR7460945	paired
SRS3492964	SRR7460946	paired
SRS3492968	SRR7460949	paired
SRS3492970	SRR7460952	paired
SRS3492971	SRR7460953	paired
SRS3492972	SRR7460954	paired
SRS3492974	SRR7460955	paired
SRS3492973	SRR7460956	paired
SRS3492975	SRR7460957	paired
SRS3492977	SRR7460958	paired
SRS3492976	SRR7460959	paired
SRS3492980	SRR7460961	paired
SRS3492979	SRR7460962	paired
SRS3492981	SRR7460963	paired
SRS3492983	SRR7460964	paired
SRS3492982	SRR7460965	paired
SRS3492984	SRR7460966	paired
SRS3492987	SRR7460967	paired
SRS3492986	SRR7460968	paired
SRS3492989	SRR7460971	paired
SRS3492990	SRR7460972	paired
SRS3492991	SRR7460973	paired
SRS3492992	SRR7460974	paired
SRS3492993	SRR7460975	paired
SRS3492994	SRR7460976	paired
SRS3492996	SRR7460978	paired
SRS3492997	SRR7460979	paired
SRS3492998	SRR7460980	paired
SRS3492999	SRR7460981	paired
SRS3493000	SRR7460982	paired
SRS3493001	SRR7460983	paired
SRS3493003	SRR7460984	paired
SRS3493004	SRR7460985	paired
SRS3493005	SRR7460986	paired
SRS3493006	SRR7460987	paired
SRS3493007	SRR7460988	paired
SRS3493008	SRR7460989	paired
SRS3493009	SRR7460990	paired
SRS3493010	SRR7460991	paired
SRS3493011	SRR7460992	paired
SRS3493012	SRR7460993	paired
SRS3493013	SRR7460994	paired
SRS3493018	SRR7461000	paired
SRS3493023	SRR7461003	paired
